cod;nome;período;valor
1600550;Pracuúba;2015;0,00
1600600;Santana;2015;32,08
1600709;Tartarugalzinho;2015;32,87
1600808;"Vitória do Jari";2015;27,85
1700251;Abreulândia;2015;0,00
1700301;Aguiarnópolis;2015;16,26
1700350;"Aliança do Tocantins";2015;0,00
1700400;Almas;2015;26,99
1700707;Alvorada;2015;46,86
1701002;Ananás;2015;10,15
1701051;Angico;2015;0,00
1701101;"Aparecida do Rio Negro";2015;0,00
1701309;Aragominas;2015;33,84
1701903;Araguacema;2015;0,00
1702000;Araguaçu;2015;22,79
1702109;Araguaína;2015;61,70
1702158;Araguanã;2015;18,13
1702208;Araguatins;2015;23,26
1702307;Arapoema;2015;14,71
1702406;Arraias;2015;9,28
1702554;Augustinópolis;2015;39,71
1702703;"Aurora do Tocantins";2015;27,16
1702901;"Axixá do Tocantins";2015;30,91
1703008;Babaçulândia;2015;27,94
1703057;"Bandeirantes do Tocantins";2015;0,00
1703073;"Barra do Ouro";2015;0,00
1703107;Barrolândia;2015;17,85
1703206;"Bernardo Sayão";2015;22,07
1703305;"Bom Jesus do Tocantins";2015;22,34
1703602;"Brasilândia do Tocantins";2015;0,00
1703701;"Brejinho de Nazaré";2015;18,35
1703800;"Buriti do Tocantins";2015;9,23
1703826;Cachoeirinha;2015;0,00
1703842;"Campos Lindos";2015;10,63
1703867;"Cariri do Tocantins";2015;0,00
1703883;Carmolândia;2015;0,00
1703891;"Carrasco Bonito";2015;50,21
1703909;Caseara;2015;0,00
1704105;Centenário;2015;0,00
1704600;"Chapada de Areia";2015;0,00
1705102;"Chapada da Natividade";2015;29,74
1705508;"Colinas do Tocantins";2015;11,77
1705557;Combinado;2015;0,00
1705607;"Conceição do Tocantins";2015;23,76
1706001;"Couto Magalhães";2015;18,44
1706100;Cristalândia;2015;0,00
1706258;"Crixás do Tocantins";2015;0,00
1706506;Darcinópolis;2015;17,14
1707009;Dianópolis;2015;33,07
1707108;"Divinópolis do Tocantins";2015;14,76
1707207;"Dois Irmãos do Tocantins";2015;13,69
1707306;Dueré;2015;42,35
1707405;Esperantina;2015;47,59
1707553;Fátima;2015;0,00
1707652;Figueirópolis;2015;37,13
1707702;Filadélfia;2015;11,30
1708205;"Formoso do Araguaia";2015;26,68
1708254;"Fortaleza do Tabocão";2015;0,00
1708304;Goianorte;2015;19,47
1709005;Goiatins;2015;7,80
1709302;Guaraí;2015;59,64
1709500;Gurupi;2015;54,95
1709807;Ipueiras;2015;53,16
1710508;Itacajá;2015;80,96
